,blk,window,time,ticket_count,ticket_price,missed,pow_diff
405,58464,144,1472383480,1675,26.66458958,26.0,1029045.37513302
406,58608,144,1472425091,69,45.08031023,17.0,1061383.7444481
407,58752,144,1472483132,251,39.67870934,18.0,1098315.25997079
408,58896,144,1472527258,1973,25.11042356,25.0,950957.23272311
409,59040,144,1472574751,17,46.70529547,17.0,873883.47892298
410,59184,144,1472610768,245,43.28583696,6.0,798953.36296632
411,59328,144,1472650908,869,27.9689051,14.0,828999.7071231
412,59472,144,1472688043,674,28.19532964,10.0,875894.00203779
413,59616,144,1472733994,728,28.53728442,12.0,969945.95850429
414,59760,144,1472773969,642,29.96043879,7.0,986362.07916591
415,59904,144,1472827789,684,29.8793915,13.0,1033541.46881078
416,60048,144,1472871364,699,29.87558384,7.0,939504.7138321
417,60192,144,1472914736,690,30.22793358,8.0,891044.01393909
418,60336,144,1472954150,686,30.47826691,10.0,865777.38082808
419,60480,144,1472990936,528,30.60219205,27.0,891844.11072708
420,60624,144,1473025708,1785,27.02119105,12.0,978812.20032138
421,60768,144,1473075954,8,46.7501627,19.0,1140769.01426513
422,60912,144,1473123141,286,40.58745218,17.0,1128843.65679296
423,61056,144,1473177125,2027,26.25942311,11.0,1073628.98114623
424,61200,144,1473221682,34,48.49966247,9.0,933161.59562469
425,61344,144,1473261108,385,45.20591924,20.0,855349.79307362
426,61488,144,1473296209,739,33.72389222,22.0,853809.46840696
427,61632,144,1473348115,495,31.73884165,18.0,941185.55742928
428,61776,144,1473392478,2741,26.42403494,23.0,892673.18554699
429,61920,144,1473431178,8,63.713598,18.0,857817.60704046
430,62064,144,1473467933,6,76.50915036,12.0,885962.04934981
431,62208,144,1473517111,28,46.54179151,10.0,974097.3504428
432,62352,144,1473564802,2860,16.13530245,10.0,951312.67969468
433,62496,144,1473600756,92,38.73364318,12.0,894129.41765432
434,62640,144,1473630505,6,47.79146703,6.0,943064.09397234
435,62784,144,1473693851,1468,29.09816908,7.0,1152365.37391523
436,62928,144,1473732687,5,42.88415783,10.0,1008760.84738143
437,63072,144,1473777610,632,31.78209864,9.0,988333.07615279
438,63216,144,1473818659,1654,27.42424709,9.0,959289.00652267
439,63360,144,1473864942,27,47.43912519,18.0,968741.82848564
440,63504,144,1473911960,474,40.96097284,29.0,939792.20243193
441,63648,144,1473952930,653,32.71960001,37.0,886938.31055812
442,63792,144,1473998183,1037,29.98677554,5.0,883417.89964904
443,63936,144,1474042789,348,37.33453003,14.0,861237.73684932
444,64080,144,1474085215,574,32.62391689,17.0,836843.87027832
